"data";"tipo_teste";"testes_negativos";"testes_positivos";"testes_inconclusivos"
2020-04-03;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-04-03;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;1;1
2020-04-03;"Quimioluminescência - CLIA";0;1;0
2020-04-03;"RT-PCR";1987;1421;1987
2020-04-03;"Teste rápido";1;0;1
2020-04-03;"TESTE RÁPIDO - ANTICORPO";308;66;308
2020-04-03;"TESTE RÁPIDO - ANTÍGENO";22;19;22
2020-04-04;"Enzimaimunoensaio - ELISA IgM";1;2;1
2020-04-04;"RT-PCR";802;775;802
2020-04-04;"TESTE RÁPIDO - ANTICORPO";83;41;83
2020-04-04;"TESTE RÁPIDO - ANTÍGENO";8;2;8
2020-04-05;"RT-PCR";814;597;814
2020-04-05;"Teste rápido";0;0;0
2020-04-05;"TESTE RÁPIDO - ANTICORPO";91;43;91
2020-04-05;"TESTE RÁPIDO - ANTÍGENO";5;6;5
2020-04-06;"Enzimaimunoensaio - ELISA IgM";2;3;2
2020-04-06;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-04-06;"RT-PCR";2475;2130;2475
2020-04-06;"Teste rápido";0;0;0
2020-04-06;"TESTE RÁPIDO - ANTICORPO";265;102;265
2020-04-06;"TESTE RÁPIDO - ANTÍGENO";10;6;10
2020-04-07;"Enzimaimunoensaio  ELISA";1;0;1
2020-04-07;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-04-07;"RT-PCR";2679;1981;2679
2020-04-07;"Teste rápido";0;0;0
2020-04-07;"TESTE RÁPIDO - ANTICORPO";340;145;340
2020-04-07;"TESTE RÁPIDO - ANTÍGENO";9;13;9
2020-04-08;"Enzimaimunoensaio - ELISA IgM";1;2;1
2020-04-08;"Quimioluminescência - CLIA";0;1;0
2020-04-08;"RT-PCR";2291;1822;2291
2020-04-08;"Teste rápido";2;0;2
2020-04-08;"TESTE RÁPIDO - ANTICORPO";535;197;535
2020-04-08;"TESTE RÁPIDO - ANTÍGENO";21;16;21
2020-04-09;"Enzimaimunoensaio  ELISA";0;1;0
2020-04-09;"Enzimaimunoensaio - ELISA IgM";0;2;0
2020-04-09;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;2;0
2020-04-09;"Quimioluminescência - CLIA";0;1;0
2020-04-09;"RT-PCR";2254;1538;2254
2020-04-09;"Teste rápido";0;0;0
2020-04-09;"TESTE RÁPIDO - ANTICORPO";441;179;441
2020-04-09;"TESTE RÁPIDO - ANTÍGENO";24;16;24
2020-04-10;"Enzimaimunoensaio - ELISA IgM";1;1;1
2020-04-10;"RT-PCR";1065;1390;1065
2020-04-10;"Teste rápido";0;0;0
2020-04-10;"TESTE RÁPIDO - ANTICORPO";174;106;174
2020-04-10;"TESTE RÁPIDO - ANTÍGENO";19;26;19
2020-04-11;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-04-11;"RT-PCR";1084;1235;1084
2020-04-11;"Teste rápido";0;0;0
2020-04-11;"TESTE RÁPIDO - ANTICORPO";248;94;248
2020-04-11;"TESTE RÁPIDO - ANTÍGENO";14;13;14
2020-04-12;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-04-12;"RT-PCR";698;1138;698
2020-04-12;"Teste rápido";0;0;0
2020-04-12;"TESTE RÁPIDO - ANTICORPO";325;85;325
2020-04-12;"TESTE RÁPIDO - ANTÍGENO";9;20;9
2020-04-13;"Enzimaimunoensaio  ELISA";1;2;1
2020-04-13;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-04-13;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;3;0
2020-04-13;"Quimioluminescência - CLIA";1;0;1
2020-04-13;"RT-PCR";3123;2383;3123
2020-04-13;"Teste rápido";0;0;0
2020-04-13;"TESTE RÁPIDO - ANTICORPO";896;329;896
2020-04-13;"TESTE RÁPIDO - ANTÍGENO";50;22;50
2020-04-14;"Enzimaimunoensaio  ELISA";0;1;0
2020-04-14;"Enzimaimunoensaio - ELISA IgM";0;3;0
2020-04-14;"RT-PCR";2693;2794;2693
2020-04-14;"TESTE RÁPIDO - ANTICORPO";905;377;905
2020-04-14;"TESTE RÁPIDO - ANTÍGENO";71;34;71
2020-04-15;"Enzimaimunoensaio  ELISA";0;2;0
2020-04-15;"Enzimaimunoensaio - ELISA IgM";1;2;1
