semana_epi;tipo_teste;uf;ultimo_dia_semana;testes_positivos;testes_negativos;testes_inconclusivos;testes_total;testes_com_resultado;testes_taxa_positivo
12;RT-PCR;SC;2020-03-21;352;1400;0;1755;1752;0,2009132420091324
12;RT-PCR;SE;2020-03-21;1;6;0;7;7;0,1428571428571428
12;RT-PCR;SP;2020-03-21;28;158;0;186;186;0,1505376344086022
12;RT-PCR;TO;2020-03-21;18;74;0;92;92;0,1956521739130435
12;RT-PCR;NA;2020-03-21;972;307;0;2608;1279;0,7599687255668491
12;Teste rápido;AM;2020-03-21;7;7;0;14;14;0,5000000000000000
12;Teste rápido;AP;2020-03-21;1;85;0;87;86;0,0116279069767442
12;Teste rápido;BA;2020-03-21;2;39;0;41;41;0,0487804878048781
12;Teste rápido;CE;2020-03-21;1;8;0;9;9;0,1111111111111111
12;Teste rápido;DF;2020-03-21;3;1;0;8;4;0,7500000000000000
12;Teste rápido;GO;2020-03-21;7;12;0;19;19;0,3684210526315789
12;Teste rápido;MA;2020-03-21;3;7;0;10;10;0,3000000000000000
12;Teste rápido;MG;2020-03-21;16;81;0;97;97;0,1649484536082474
12;Teste rápido;MS;2020-03-21;0;1;0;1;1;0,0000000000000000
12;Teste rápido;MT;2020-03-21;0;4;0;5;4;0,0000000000000000
12;Teste rápido;PA;2020-03-21;5;14;0;20;19;0,2631578947368421
12;Teste rápido;PB;2020-03-21;2;12;0;14;14;0,1428571428571428
12;Teste rápido;PE;2020-03-21;4;9;0;14;13;0,3076923076923077
12;Teste rápido;PI;2020-03-21;0;2;0;2;2;0,0000000000000000
12;Teste rápido;PR;2020-03-21;1;0;0;1;1;1,0000000000000000
12;Teste rápido;RJ;2020-03-21;15;50;0;65;65;0,2307692307692308
12;Teste rápido;RO;2020-03-21;0;2;0;2;2;0,0000000000000000
12;Teste rápido;RR;2020-03-21;1;0;0;1;1;1,0000000000000000
12;Teste rápido;RS;2020-03-21;6;21;0;27;27;0,2222222222222222
12;Teste rápido;SC;2020-03-21;57;153;0;210;210;0,2714285714285714
12;Teste rápido;SE;2020-03-21;0;2;0;2;2;0,0000000000000000
12;Teste rápido;SP;2020-03-21;1;21;0;22;22;0,0454545454545455
12;Teste rápido;TO;2020-03-21;0;11;0;11;11;0,0000000000000000
12;Teste rápido;NA;2020-03-21;6;71;0;81;77;0,0779220779220779
12;Outros;BA;2020-03-21;0;1;0;1;1;0,0000000000000000
12;Outros;DF;2020-03-21;3;0;0;3;3;1,0000000000000000
12;Outros;MG;2020-03-21;1;0;0;1;1;1,0000000000000000
12;Outros;PE;2020-03-21;0;1;0;1;1;0,0000000000000000
12;Outros;RN;2020-03-21;1;0;0;1;1;1,0000000000000000
12;Outros;NA;2020-03-21;1;0;0;1;1;1,0000000000000000
13;RT-PCR;AC;2020-03-28;30;134;0;164;164;0,1829268292682927
13;RT-PCR;AL;2020-03-28;14;83;0;97;97;0,1443298969072165
13;RT-PCR;AM;2020-03-28;74;108;1;183;183;0,4043715846994536
13;RT-PCR;AP;2020-03-28;27;133;0;160;160;0,1687500000000000
13;RT-PCR;BA;2020-03-28;160;749;2;914;911;0,1756311745334797
13;RT-PCR;CE;2020-03-28;244;576;0;821;820;0,2975609756097561
13;RT-PCR;DF;2020-03-28;197;102;0;300;299;0,6588628762541806
